,Title,Location,Security,Garage,Concierge,Price,City,Currency,Nmbr of rooms,Nmbr of pieces,Nmbr of bathrooms,Newness,Surface
0,Appartement avec vue mer depuis toutes les pièces,Centre,0,0,0,2200000,Tanger,DH,2,3,2,Bon état,95
1,"Studio de 43m² en vente, Résidence Panama",Malabata,1,0,0,602000,Tanger,DH,1,1,1,Nouveau,43
2,Appartement de 94m² en vente Résidence Al Bahja,Tanja Balia,0,0,0,694575,Tanger,DH,3,4,2,Nouveau,94
3,Appartement avec terrasse et vue mer,De La,0,0,0,2750000,Tanger,DH,2,3,2,Bon état,129
4,Magnifique duplex avec vue panoramique sur la baie,Centre,0,0,0,3400000,Tanger,DH,2,3,3,Bon état,223
5,Superbe appartement de 128m2 avec 3 chambres,Marchan,0,0,0,1900000,Tanger,DH,3,4,2,Bon état,128
6,"Appartement de 88m² en vente, Résidence Riad Zalga",Ahlane,0,0,0,580000,Tanger,DH,2,4,1,Nouveau,70
7,Appartement en vente à Ennasr. Surface totale 100 m². Terrasse et ascenseur,Ennasr,0,0,0,1000000,Tanger,DH,2,5,2,Bon état,100
8,Joli appartement en vente à BAYT SAHAFA,Marjane,0,0,0,780000,Tanger,DH,2,3,1,Nouveau,73
9,Appartements moyens standing a vendre,Mesnana,0,0,0,550000,Tanger,DH,2,3,1,Nouveau,66
10,Appartement moyen standing,Tanja Balia,0,0,0,403000,Tanger,DH,2,3,1,Nouveau,58
11,Vente Appartement Tanger BOULEVARD Ref: VA335,Centre,0,0,0,1240000,Tanger,DH,2,3,1,Bon état,72
12,"Studio de 45m² en vente, Résidence Panama",Malabata,1,0,0,630000,Tanger,DH,1,1,1,Nouveau,45
13,APPARTEMENT 190 m2 de 4 chambres au Boulvard,Administratif,0,0,0,11000,Tanger,DH,4,10,3,À rénover,190
14,Ne pas rater votre appartement  duplex à vendre,Route Nationale,0,0,0,1496000,Tanger,DH,3,8,2,Nouveau,136
15,Appartement Vide à La Vente Nejma Tanger,Centre,0,0,0,2450000,Tanger,DH,2,3,1,Bon état,144
16,Appartement de Luxe à La Vente Corniche Tanger,De La,0,0,0,2000000,Tanger,DH,2,3,2,Nouveau,105
17,Appartement à La Vente La wilaya Tanger,Administratif,0,0,1,1220000,Tanger,DH,2,3,1,Bon état,90
18,Appartement avecTerrasse à Vendre Mojahidin Tanger,Moujahidine,0,0,0,2960000,Tanger,DH,5,6,2,Bon état,257
19,Appart F4 de 96 m2 prés de Patisserie Paris,Centre,0,0,0,950000,Tanger,DH,3,4,2,Bon état,97
20,Appart F3 rénové en vente à Kawacim,Du Golf,0,0,0,580000,Tanger,DH,2,3,1,Bon état,54
21,Neuf appart F3 de 163m2 vue sur mer,Manar,0,0,0,3000000,Tanger,DH,2,3,2,Nouveau,163
22,Résidence kawacim (2 ch  salon ),Du Golf,0,0,0,550000,Tanger,DH,2,3,1,Bon état,99
23,Magnifique Appartement à vendre à Lotinord,Marjane,0,0,0,1250000,Tanger,DH,3,4,1,Bon état,100
24,"Appartement et Duplex à Vendre, Déclaration 100%: VA11",Route Nationale,0,0,0,1564000,Tanger,DH,3,6,3,Nouveau,136
25,Exclusif: appartement au centre a vendre,Centre,0,0,0,700000,Tanger,DH,2,3,1,Bon état,71
26,Bel appartement haut standing A vendre: AV15,Centre,0,0,0,2280000,Tanger,DH,3,6,2,Nouveau,120
27,"Studio de 50m² en vente, Résidence Panama",Malabata,1,0,0,700000,Tanger,DH,1,1,1,Nouveau,50
28,Appartement moderne dans le quartier de Malabata,Centre,0,0,0,2332000,Tanger,DH,2,5,2,Bon état,146
29,Magnifique Riad traditionnel,Médina,0,0,0,7725000,Tanger,DH,8,14,1,Bon état,300
30,Grand appartement de 3 chambres,Centre,0,0,0,1500000,Tanger,DH,3,5,1,Bon état,117
31,Un appartement de 160 mètres carrés dans le centre,Mozart,0,0,0,1526400,Tanger,DH,3,5,1,Bon état,160
32,Un magnifique appartement de style colonial,Médina,0,0,0,1550000,Tanger,DH,3,5,1,Bon état,144
33,Appartement de 115m2 avec un grand potentiel,Mozart,0,0,0,1097100,Tanger,DH,3,5,1,Bon état,115
34,Appartement à l'achat à De La Plage. 2 chambres. Double vitrage et chauffage central,De La,0,0,0,1890000,Tanger,DH,2,3,2,Nouveau,105
35,"Studio de 51m² en vente, Résidence Panama",Malabata,1,0,0,714000,Tanger,DH,1,1,1,Nouveau,51
36,"Appartement au RDC de 64m² en vente, Vistalia",Tanja Balia,0,0,0,518400,Tanger,DH,2,3,1,Nouveau,64
37,Appartement de luxe a vendre: VA16,Iberie,0,0,0,3850000,Tanger,DH,3,7,3,Nouveau,175
38,Luxe appartement haute standing a tanger iberia,De La,0,0,0,1800000,Tanger,DH,2,3,2,Nouveau,180
39,Superbe appartement à vendre en Centre. 2 belles chambres,Centre,0,0,0,1200000,Tanger,DH,2,5,1,Bon état,96
40,Appartement de 138m2 en vente à l'ancien Medina,Médina,0,0,0,980000,Tanger,DH,2,4,1,Bon état,138
41,"Vente Appartement moderne, centre ville tanger",Mozart,0,0,0,1054000,Tanger,DH,2,6,1,Nouveau,62
42,Duplex 3 chambres près de l'école Berchet,Administratif,0,0,0,1800000,Tanger,DH,3,5,2,Bon état,136
43,Magnifique appartement pour vente,Administratif,0,0,0,1980000,Tanger,DH,3,4,2,Bon état,147
44,Appartement de 70m² en vente Résidence Al Bahja,Tanja Balia,0,0,0,479500,Tanger,DH,2,3,2,Nouveau,70
45,Appartement de 67m² en vente Résidence Al Bahja,Tanja Balia,0,0,0,458950,Tanger,DH,2,3,2,Nouveau,67
46,Appartement de 62m² en vente Résidence Al Bahja,Tanja Balia,0,0,0,449500,Tanger,DH,2,3,2,Nouveau,62
47,Appartement de 80m² en vente Résidence Al Bahja,Tanja Balia,0,0,0,588000,Tanger,DH,2,3,2,Nouveau,80
48,Appartement de 82m² en vente Résidence Al Bahja,Tanja Balia,0,0,0,602700,Tanger,DH,2,3,2,Nouveau,82
49,Appartement Vue Mer À Vendre À Tanger,De La,0,0,0,4200000,Tanger,DH,3,4,3,Bon état,217
50,Appartement à l'achat à Tanger City Center. 3 belles chambres. Ascenseur et terrasse.,Tanger City,0,0,0,1150000,Tanger,DH,3,4,2,Bon état,90
51,Appartement Traversant À Vendre À California,Californie,0,0,0,3000000,Tanger,DH,4,6,3,Bon état,250
52,Appartement Avec Terrasse À Vendre À Iberia,Iberie,0,0,0,950000,Tanger,DH,2,3,2,Bon état,88
53,Appartement de 140m² en vente Ali Building,De La,0,0,0,2380000,Tanger,DH,3,4,2,Nouveau,140
54,Superbe appartement à vendre à Moulay Youssef,Administratif,0,0,0,1130000,Tanger,DH,2,3,1,Bon état,99
55,Magnifique appart de 4 chambres en vente à Marchan,Marchan,0,0,0,3500000,Tanger,DH,4,6,2,Nouveau,183
56,"Studio de 57m² en vente, Résidence Panama",Malabata,1,0,0,798000,Tanger,DH,1,1,1,Nouveau,57
57,Bel appartement à vendre à Zone Industrielle Mghogha. Surface de 78 m². Bien meublé,Zone Industrielle,0,0,0,550000,Tanger,DH,2,3,1,Bon état,78
58,Appartement neuf 3 chambres tanger,Mesnana,0,0,0,1128000,Tanger,DH,3,4,2,Nouveau,112
59,Appartement neuf 3 chambres tanger ville,Mesnana,0,0,0,1279000,Tanger,DH,3,4,2,Nouveau,127
60,Appartment neuf tanger ville 3 chambres,Mesnana,0,0,0,1122000,Tanger,DH,3,4,2,Nouveau,111
61,Appartements moyens standing tanger albalia,Tanja Balia,1,0,0,468900,Tanger,DH,2,3,1,Nouveau,58
62,A vendre cet Appartement Tanger balia,Tanja Balia,0,0,0,250000,Tanger,DH,2,3,1,Nouveau,53
63,Appartement Neuf 3 chambres livraison immediate,Mesnana,0,0,0,900000,Tanger,DH,3,4,2,Nouveau,100
64,Appartement moyen standing 2 chambres,Mesnana,0,0,0,721000,Tanger,DH,2,3,1,Nouveau,80
65,Appartement de 5 chambres et salon avec une vue panoramique,Californie,0,0,0,2950000,Tanger,DH,5,7,3,Bon état,225
66,Retrait avec Terrasse à La Vente Nejma Tanger,Centre,0,0,0,3860000,Tanger,DH,5,6,2,Bon état,327
67,Vente Appartement 129 m² CAP TINGIS Tanger,Malabata,0,0,0,3000000,Tanger,DH,2,3,2,Bon état,129
68,Vente Appartement 60 m² TANJA BALIA Tanger Ref: VG332,Tanja Balia,0,0,0,250000,Tanger,DH,2,3,1,Nouveau,55
69,Appartement haut standing au centre ville,Centre,0,0,0,1450000,Tanger,DH,3,5,2,Nouveau,110
70,"Appartement au RDC de 58m² en vente, Vistalia",Tanja Balia,0,0,0,469800,Tanger,DH,1,2,1,Nouveau,58
71,"Studio de 53m² en vente, Résidence Panama",Malabata,1,0,0,742000,Tanger,DH,1,1,1,Nouveau,53
72,Bel appartement à vendre en plein centre ville,Administratif,0,0,0,980000,Tanger,DH,2,4,1,Bon état,98
73,Bel appartement prestigieux à vendre:,Du Golf,0,0,0,4800000,Tanger,DH,4,8,4,Nouveau,240
74,Appartement A Vendre Vue Sur Mer – Malabata – Tan,De La,0,0,0,2650000,Tanger,DH,2,3,1,Bon état,108
75,Appartement Vide à La Vente Corniche Tanger,De La,0,0,0,2420000,Tanger,DH,3,4,2,Bon état,110
76,Acheter votre appart maintenant,Moujahidine,0,0,0,630000,Tanger,DH,2,3,1,Nouveau,64
77,Appart 3 chambres a vendre,Casabarata,0,0,0,1200000,Tanger,DH,3,4,2,Bon état,131
78,Appart Moderne a 2chambres a vendre,Marjane,0,0,0,560000,Tanger,DH,2,3,1,Nouveau,65
79,Appart au 2eme étages a vendre a hay hassani,Hay Hassani,0,0,0,550000,Tanger,DH,3,4,1,Bon état,95
80,Appart neuf a 2 chambres et Terasse a vendre,Moujahidine,0,0,0,620000,Tanger,DH,2,3,2,Nouveau,85
81,Appartement lumineux à 100 m de la plage,Tanger City,0,0,0,1400000,Tanger,DH,2,3,1,Bon état,97
82,Appartement de 125m² en vente Ali Building,De La,0,0,0,2250000,Tanger,DH,3,4,2,Nouveau,125
83,Bel appartement à vendre el ghandouri malabata tanger,Malabata,0,0,0,1270000,Tanger,DH,3,4,2,Nouveau,94
84,Appart avec terasse et 3 chambres salon a vendre,Moujahidine,0,0,0,1150000,Tanger,DH,3,4,2,Bon état,146
85,Complexe aida village,Moujahidine,0,0,0,1300000,Tanger,DH,3,4,2,Bon état,137
86,Magnifique Appartement de reve a vendre,Moujahidine,0,0,0,850000,Tanger,DH,3,4,2,Bon état,95
87,"Studio de 37m² en vente, Résidence Panama",Malabata,1,0,0,518000,Tanger,DH,1,1,1,Nouveau,37
88,Votre appartement de rêve,Iberie,0,0,0,2650000,Tanger,DH,3,5,3,Bon état,175
89,Appartement en vente en Centre. 2 chambres. Double vitrage et porte blindée,Centre,0,0,0,1700000,Tanger,DH,2,3,2,Nouveau,100
90,Appartement à l'achat à Bel Air Val fleuri. 3 grandes pièces. Avec ascenseur et terrasse,Bel Air,0,0,0,650000,Tanger,DH,2,3,1,Bon état,79
91,"Appartement en vente à De La Plage. 3 grandes pièces. Salon traditionnel, antenne parabolique générale",De La,0,0,0,1240000,Tanger,DH,2,3,1,Bon état,80
92,Bel appartement a place Mozart,Mozart,0,0,0,1450000,Tanger,DH,2,4,2,Bon état,116
93,Vente appartement,Centre,0,0,0,1420000,Tanger,DH,3,8,2,Bon état,164
94,A vendre magnifique appartement F4,Branes,0,0,0,880000,Tanger,DH,3,4,2,Nouveau,88
95,Studio de 39 M2 sur la corniche à Vendre,Centre,0,0,0,600000,Tanger,DH,1,2,1,Bon état,39
96,Appartement Vue Imprenable Sur Mer à Vendre Malaba,De La,0,0,0,2220000,Tanger,DH,3,5,2,Bon état,165
97,Appartement haut standing,Branes,0,0,0,700000,Tanger,DH,2,4,1,Bon état,85
98,Magnifique appartement en vente à Marchane,Marchan,0,0,0,2900000,Tanger,DH,3,5,2,Nouveau,175
99,Appartement de 133m² en vente à Moulay Ismail,Centre,0,0,0,1263500,Tanger,DH,3,4,1,Bon état,133
100,Appartement de 129m² en vente à Av Mly Ismail,Centre,0,0,0,1225500,Tanger,DH,3,5,1,Bon état,129
101,Appartement de 107m² en vente à Val Fleuri,Centre,0,0,0,1200000,Tanger,DH,2,3,1,Bon état,107
102,Appartement en vente à Castilla,Centre,0,0,0,1100000,Tanger,DH,2,3,1,Bon état,94
103,Appartement de 120m² en vente à Av Mly Ismail,Centre,0,0,0,1140000,Tanger,DH,3,5,1,Bon état,120
104,Duplex de 150m² en vente à place mozart,Centre,0,0,0,2150000,Tanger,DH,3,4,2,Nouveau,150
105,Appartement de 97m² en vente à Mojamma El Hassani,Hay Hassani,0,0,0,620000,Tanger,DH,2,3,1,Bon état,97
106,"Appartement a vendre à Marjane, Tanger",Laaouina,0,0,0,710000,Tanger,DH,2,4,2,Bon état,104
107,"Studio de 56m² en vente, Résidence Panama",Malabata,1,0,0,784000,Tanger,DH,1,1,1,Nouveau,56
108,"Studio de 54m² en vente, Résidence Panama",Malabata,1,0,0,756000,Tanger,DH,1,1,1,Nouveau,54
109,"Studio de 38m² en vente, Résidence Panama",Malabata,1,0,0,532000,Tanger,DH,1,1,1,Nouveau,38
110,Appartement a vendre rue moulay ismail,Centre,0,0,0,1290000,Tanger,DH,3,1,2,Bon état,101
111,Quartier Boubana LAQB 403,Jbel Kbir,0,0,0,20000,Tanger,DH,4,2,4,Nouveau,240
112,Appartement A Vendre Vue Sur Mer – Malabata – Tan,De La,0,0,0,2550000,Tanger,DH,2,3,1,Bon état,85
113,"Haut standing Appartements à vendre sur Tanger,",Tanger City,0,0,0,1200000,Tanger,DH,2,2,1,Nouveau,68
114,Joli Appart F3 de 63m2 en vente à Malabata,Malabata,0,0,0,950000,Tanger,DH,2,3,1,Bon état,63
115,Bel appart F4 en vente à Mozart,Mozart,1,0,0,1300000,Tanger,DH,3,4,1,Bon état,117
116,Quartier Iberie VAQI 429,Iberie,0,0,0,3059000,Tanger,DH,2,2,2,Nouveau,176
117,Quartier AHLAN VIQA 428,Marjane,0,0,0,4700000,Tanger,DH,4,4,3,Nouveau,150
118,Quartier Iberie VAQI 428,Iberie,0,0,0,3192000,Tanger,DH,3,4,2,Nouveau,183
119,Appart neuf a 2 chambres a vendre,Marjane,0,0,0,560000,Tanger,DH,2,3,1,Nouveau,65
120,Appart a Val Fleuri A vendre avec 2 chambres,Hay Hassani,0,0,0,550000,Tanger,DH,3,4,1,Bon état,95
121,Vend appartement à Mozart. Surface de 50 m². Meublé.,Mozart,0,0,0,560000,Tanger,DH,2,3,1,Bon état,50
122,Bel appartement à vendre proche de la mer et du ce,Tanja Balia,0,0,0,380000,Tanger,DH,2,3,1,Nouveau,56
123,Magnifique Appartement À Vendre À Centre ville,Centre,0,0,0,2241000,Tanger,DH,3,5,2,Nouveau,166
124,Appartement Neuf À Vendre Prés La Corniche,Mozart,0,0,0,1100000,Tanger,DH,3,4,2,Nouveau,85
125,Appartement Avec Terrasse À Vendre À Iberia,Iberie,0,0,0,4300000,Tanger,DH,3,4,3,Nouveau,259
126,Appartement Double Façade Sans Vis À Vis,Hay El,0,0,0,1320000,Tanger,DH,2,4,2,Bon état,97
127,Appartement 4 chambres à vendre à Tanger centre,Administratif,0,0,0,2158000,Tanger,DH,4,5,3,Nouveau,166
128,Appartement À Vendre Prés Mcdo Malabata,Tanger City,0,0,0,1350000,Tanger,DH,2,4,2,Bon état,97
129,Appartement Sans Vis À Vis À Vendre À Iberia,Iberie,0,0,0,2600000,Tanger,DH,3,5,3,Bon état,175
130,Apparemment à vendredi à tanger,Marjane,0,0,0,995000,Tanger,DH,2,2,2,Bon état,120
131,Appartement face Mer,De La,0,0,0,2650000,Tanger,DH,2,3,2,Bon état,90
132,Appartement en vente à SouaniSurface totale 116 m²,Mister Khouch,0,0,0,750000,Tanger,DH,3,6,2,Nouveau,116
133,Appartement De Luxe En Vente À Iberia,Iberie,0,0,0,3850000,Tanger,DH,3,4,3,Nouveau,175
134,Appartement Au Retrait À Vendre À Iberia Tanger,Iberie,0,0,0,1400000,Tanger,DH,2,3,2,Bon état,130
135,Appartement De Luxe à VENDRE À Malabata Hills,Malabata,0,0,0,2210000,Tanger,DH,3,4,2,Nouveau,130
136,Appartement À Vendre À Malabata Hills,Malabata,0,0,0,1632000,Tanger,DH,2,3,2,Nouveau,96
137,Magnifique Appartement À Vendre À Marchan Tanger,Ain El,0,0,0,2480000,Tanger,DH,3,4,3,Nouveau,155
138,Apparemment a vendre marjane route de rabat,Marjane,0,0,0,995000,Tanger,DH,2,2,2,Bon état,120
139,Quartier Iberie VAQI 427,Iberie,0,0,0,2907000,Tanger,DH,3,4,1,Bon état,153
140,Quartier MALABATA VAQM 426,De La,0,0,0,880000,Tanger,DH,1,1,1,Nouveau,55
141,Quartier MALABATA VAQM 425,De La,0,0,0,1343000,Tanger,DH,2,2,2,Nouveau,79
142,Appartement meuble a vendre marjane,Marjane,0,0,0,650000,Tanger,DH,2,3,1,Bon état,75
143,Appartement à vendre prés Maison de Presse,Mesnana,0,0,0,850000,Tanger,DH,2,3,2,Bon état,85
144,Superbe appartement à vendre à Marjane. 3 grandes pièces. Service de concierge et climatisation.,Marjane,0,0,0,1300000,Tanger,DH,3,3,2,Bon état,144
145,Grand appartement 104m,Jirrari,1,0,0,730000,Tanger,DH,3,3,2,Nouveau,104
146,Spacieux Appartement à vendre à sahat oumam,Centre,0,0,0,2100000,Tanger,DH,3,5,2,Bon état,336
147,Appartement moderne à la Wilaya en vente,Administratif,0,0,0,1300000,Tanger,DH,2,3,2,Bon état,103
148,Appartement a vendre avec un prix de reve a Aida,Moujahidine,0,0,0,750000,Tanger,DH,2,3,2,Bon état,85
149,Un grand Appart neuf A vendre a Aida village,Moujahidine,0,0,0,1300000,Tanger,DH,3,4,2,Nouveau,137
150,Appart avec terasse et 3 chambres salon a vendre,Moujahidine,0,0,0,1150000,Tanger,DH,3,4,2,Bon état,146
151,Appart neuf a 2 chambres et Terasse a vendre,Moujahidine,0,0,0,620000,Tanger,DH,2,3,2,Nouveau,85
152,Appartement moderne en vente à la Wilaya,Administratif,0,0,0,1200000,Tanger,DH,2,3,2,Bon état,90
153,Appart au 4eme etages a vendre a hay hassani,Hay Hassani,0,0,0,550000,Tanger,DH,3,4,1,Bon état,95
154,Magnifique appartement a vendre moujahidine,Moujahidine,0,0,0,620000,Tanger,DH,2,1,1,Bon état,63
155,Appartement,T a,0,0,0,3500000,Tanger,DH,3,5,3,Nouveau,180
156,Appart totalement rénové à malabata pour la vente,Centre,0,0,0,1750000,Tanger,DH,3,4,1,Bon état,119
157,Appartement vue sur mer à Vendre Malabata,Malabata,0,0,0,1930000,Tanger,DH,2,3,2,Bon état,96
158,Appartement de haut standing,Iberie,0,0,0,2250000,Tanger,DH,2,3,2,Nouveau,96
159,Appartement neuf en plein centre,Tanger City,0,0,0,1290000,Tanger,DH,2,3,2,Nouveau,76
160,Appartement neuf en vente,Tanger City,0,0,0,680000,Tanger,DH,1,2,1,Nouveau,45
161,Le luxe ultime à proximité de la mer,De La,0,0,0,1900000,Tanger,DH,2,3,3,Nouveau,90
162,Duplex au centre de la ville à côté de la plage,Mozart,0,0,0,2600000,Tanger,DH,3,5,3,Nouveau,154
163,Appartement Bureau a vendre a Aida Village,Moujahidine,0,0,0,850000,Tanger,DH,2,3,1,Bon état,90
164,Appart neuf a 2 chambres et Terasse a vendre,Moujahidine,0,0,0,620000,Tanger,DH,2,3,2,Nouveau,85
165,Appartement au 2eme etages a vendre a hay hassani,Hay Hassani,0,0,0,550000,Tanger,DH,3,4,1,Bon état,95
166,Appart bureau au 1er etages,Casabarata,0,0,0,450000,Tanger,DH,1,2,1,Bon état,50
167,Appart bureau 2 chambres a vendre,Casabarata,0,0,0,650000,Tanger,DH,2,3,1,Bon état,70
168,Appart neuf a vendre a aida village,Moujahidine,0,0,0,630000,Tanger,DH,2,3,1,Nouveau,64
169,Bel appartement F3 à vendre en plein centre Tanger,Centre,0,0,0,2150000,Tanger,DH,2,3,1,Bon état,100
170,Bel appartement F4 en vente à Tanger,Administratif,0,0,0,1500000,Tanger,DH,3,4,2,Bon état,156
171,Bel appartement familial en plein centre ville,Centre,0,0,0,2100000,Tanger,DH,4,5,3,Bon état,178
172,Appartement à vendre,Branes,0,0,0,1100000,Tanger,DH,3,4,1,Bon état,143
173,Meublé/Bien aménagé Appt à Vendre Sur La Corniche,Malabata,0,0,0,2200000,Tanger,DH,2,2,2,Bon état,120
174,Appartement Familiale avec Terrasse à Vendre Corniche Tanger,De La,0,0,0,5750000,Tanger,DH,5,5,2,Bon état,250
175,Appartement en vente quartier ahlan 92m2,Marjane,0,0,0,77000,Tanger,UR,3,4,1,Nouveau,92
176,Appartement de Luxe à La Vente Corniche Tanger,De La,1,0,0,2440000,Tanger,DH,2,3,2,Nouveau,128
177,A vendre bel appartement de haut standing,Iberie,0,0,0,4000000,Tanger,DH,3,4,2,Bon état,184
178,Appartement spacieux proche des écoles françaises,Administratif,0,0,0,1690000,Tanger,DH,3,5,1,À rénover,145
